4407,1283
6479,2121
9882,571
2704,2185
5487,1026
4346,1755
152,931
9589,1391
886,2756
7520,1970
1586,1374
6999,2543
407,1075
6239,429
5200,707
677,2742
2582,1962
8072,871
1731,1168
7518,1058
6821,1178
8460,49
8289,1859
6639,1012
6870,811
8381,2919
3316,717
1978,2579
9414,846
9200,272
4063,2330
2209,331
6882,1824
1515,760
6805,2574
1901,455
7608,908
4720,205
2829,2989
3988,437
4759,1281
3949,1625
5597,1554
8248,2933
1507,2422
1902,2194
6663,1037
5400,554
6123,694
3211,836
1593,1711
1175,2831
8994,2474
600,1975
1892,2974
4129,1365
8696,1820
2509,2816
8530,1083
3019,1777
6772,1302
5847,1120
8758,2282
2510,573
6531,1938
1254,394
5460,1967
6364,995
2444,1645
3947,1141
4377,1006
2277,2362
6437,1496
5484,2027
1044,1469
4274,2796
1468,398
9357,2698
9576,308
7979,1938
7545,1550
6354,1224
3156,764
976,1916
8984,839
544,136
4137,1309
6375,2948
292,1239
5141,262
8744,2090
6428,1816
5162,2809
9010,2579
5486,359
256,2371
1814,814
3623,117
5156,2879
8866,163
8699,910
2679,274
3837,1280
9668,315
5361,2483
624,1459
3709,2923
2173,950
5472,2020
5373,437
6317,2421
1090,1847
5038,891
7051,1112
9660,175
1182,2375
3259,2145
1216,1340
4820,1720
9419,113
1495,73
2119,378
1419,2664
2035,1749
6584,731
3914,2658
5676,2787
9715,680
8925,1164
1424,110
9149,2685
1839,2590
9341,1045
1187,2320
8039,2056
2884,1153
161,2008
8891,2727
4462,1256
5056,2116
5648,2496
4947,1022
316,700
3532,2503
874,455
2158,2152
9555,307
927,1948
9547,2627
8600,625
2351,1043
8267,16
8015,1904
735,62
8334,2010
2524,42
5755,1958
6674,2085
7012,2196
5584,2957
9839,538
8240,538
4405,702
6918,625
254,115
2444,1749
7248,1203
1686,2808
3917,1831
2789,2874
3916,757
4038,2085
1342,247
961,182
1534,2400
7767,1194
9056,1013
4707,1492
2174,495
5818,1077
2524,2022
8355,21
5503,1757
4595,2161
8238,105
9820,1782
4061,2027
4868,208
8642,253
7796,994
9402,2874
1994,2088
8922,1215
7277,1425
5537,1141
9040,2065
4784,1055
8154,2579
6578,73
2120,294
1136,2110
3754,1944
4704,39
5870,2368
5274,2573
7509,298
3015,248
6346,137
4785,2266
8288,1632
2412,2924
3073,2606
6632,1700
5481,1972
255,1241
9141,1306
8590,448
5940,1755
4059,2830
5042,452
771,1382
9460,1966
5919,2632
3567,2031
9291,2114
1417,260
3911,253
6569,1689
5871,581
2362,2395
5744,710
5378,2121
4600,2928
1291,2153
4853,2317
1568,2605
177,1663
725,331
8775,2820
6421,2817
40,1784
6657,2410
3356,1068
8620,2826
6273,1270
3480,2599
8323,811
5234,2389
2294,191
8206,2654
8999,1653
2103,1167
3061,1498
6474,26
9210,1037
1900,1555
8773,2531
4012,2141
7849,559
9443,2648
1800,437
7175,198
1374,1029
884,353
8659,2704
7348,1888
4481,1773
9219,403
1106,489
6139,1991
913,171
7115,1809
6632,2825
1195,365
9670,708
1001,2601
169,773
3229,1363
1534,1011
8285,2039
9127,1795
5636,422
544,368
4399,678
3287,2821
910,2154
4885,953
1564,2354
5533,1297
6378,1337
5053,208
9024,2790
9449,629
3057,890
6306,1713
1248,1471
6705,1889
1919,564
6363,501
4876,1080
1767,1385
5930,1355
4514,2742
3792,2122
4000,1098
4441,758
4759,462
5885,2901
3302,594
1011,1816
3659,820
312,603
7244,2563
8236,320
5294,2756
1016,1724
4047,698
2744,2892
9959,855
3444,2024
2777,1383
6416,1727
8264,1099
3419,2946
5845,2992
4358,1630
4510,2363
9096,1019
7621,806
18,102
