487,230,2017,2022
2283,574,2008,0
1757,491,1969,2010
1795,937,1991,1990
1816,664,2014,0
2621,329,1976,2022
1319,68,1988,2022
1468,524,1999,0
1817,873,1953,2022
2129,772,2002,1990
296,240,1973,1990
2050,79,1961,2020
592,654,1999,2022
1846,820,2000,2020
2315,72,1990,2010
2769,558,1984,2000
375,479,1958,2000
1566,253,1999,2022
2438,135,1987,2000
1575,977,1971,2010
1524,481,2009,0
2402,611,2012,2022
1105,1007,1958,1990
1954,463,2004,1990
1546,173,1964,0
409,418,1951,1990
1444,853,1952,2010
1648,887,1955,0
2571,220,2011,1990
1621,479,1957,2000
2489,738,2011,2022
56,748,1987,2000
991,672,1967,2010
2604,829,1996,0
2897,556,1973,2020
2614,671,1960,2010
273,961,2000,0
1008,173,1989,2000
2644,167,2022,2010
187,715,2013,1990
468,1032,2005,2020
2238,355,2021,2000
251,953,1990,2022
2275,648,1960,2000
1030,80,1955,2010
820,856,1971,2022
706,249,1954,2020
465,798,2002,1990
825,100,2005,2000
1427,197,1973,0
1308,259,2011,2010
1061,827,2016,2020
1689,703,1994,2020
2986,774,1980,1990
732,147,2001,1990
2436,170,1980,1990
2136,1002,1955,1990
2712,612,2018,2020
454,742,2001,2022
1090,300,1991,2022
308,498,1999,2022
1723,375,2010,1990
2427,992,1973,2020
1898,675,1977,0
2933,813,1955,2020
1371,1013,2004,2020
2427,140,1987,1990
1781,758,2022,2022
1164,357,1978,2010
1817,1001,1978,2022
2729,690,1956,2010
1198,928,2014,2000
2475,789,2021,1990
1200,146,1998,2010
2268,861,1954,2000
1529,843,1962,2020
1635,711,1984,2010
1279,311,1991,2000
1174,558,1958,2000
314,884,1980,2010
2005,626,2001,2000
313,1016,2009,2000
1931,700,1951,2020
333,560,1966,2020
2230,78,1959,2022
1260,784,1963,1990
1264,827,1982,2010
2748,995,2018,0
1783,967,2014,2010
1196,339,1975,0
531,888,1950,2010
2568,1011,1992,1990
2873,143,2011,2000
2839,481,1951,2022
73,918,2005,2010
1022,335,1990,2000
551,113,1999,2022
41,452,1997,2022
1959,484,2018,2010
1607,514,1951,2000
2955,814,1993,1990
1311,261,1989,0
1089,229,1991,0
456,339,1978,2022
201,54,1954,1990
869,389,1952,2010
2984,741,1962,2020
2207,327,1972,1990
1480,141,1957,2022
1994,108,2016,1990
